,"Wdbc",,,,"Movement_Libras",,,,"Arrhythmia",,,
,"%_clas train","%_clas test","%_red","T","%_clas train","%_clas test","%_red","T","%_clas train","%_clas test","%_red","T"
"Partición 1-1","99,2958","93,6842","80,0000","12,2254","73,3333","72,2222","84,4444","54,1297","83,8542","70,1031","96,0432","61,5874"
"Partición 1-2","96,8421","93,3099","63,3333","11,7953","81,6667","75,0000","87,7778","54,2804","78,3505","76,0417","94,6043","41,2412"
"Partición 2-1","97,5352","97,5439","60,0000","10,1512","80,0000","80,0000","83,3333","45,4530","77,6042","65,4639","95,6835","46,7988"
"Partición 2-2","98,9474","95,7746","66,6667","11,7204","76,1111","72,2222","83,3333","52,1505","84,5361","65,6250","94,9640","54,8408"
"Partición 3-1","98,5915","95,4386","70,0000","10,1279","77,2222","71,6667","85,5556","53,8447","78,6458","64,4330","96,4029","42,7548"
"Partición 3-2","97,5439","95,0704","0,9900","10,4591","80,0000","75,5556","85,5556","47,9905","77,8351","67,7083","92,4460","48,6333"
"Partición 4-1","97,5352","97,5439","66,6667","11,0216","73,8889","75,5556","84,4444","41,8452","78,6458","70,6186","95,3237","45,8640"
"Partición 4-2","97,8947","93,6620","76,6667","10,7161","82,7778","63,8889","81,1111","52,7695","81,9588","66,6667","93,5252","51,6532"
"Partición 5-1","98,5915","95,7895","80,0000","10,9177","80,5556","70,0000","80,0000","47,3751","83,8542","69,5876","94,2446","65,8288"
"Partición 5-2","97,8947","96,8310","73,3333","12,7110","82,7778","75,0000","86,6667","55,4414","77,8351","68,7500","95,6835","39,9847"
"Media","98,0672","95,4648","63,7657","11,1846","78,8333","73,1111","84,2222","50,5280","80,3120","68,4998","94,8921","49,9187"
