,"Wdbc",,,,"Movement_Libras",,,,"Arrhythmia",,,
,"%_clas train","%_clas test","%_red","T","%_clas train","%_clas test","%_red","T","%_clas train","%_clas test","%_red","T"
"Partición 1-1","99,2958","93,6842","40,0000","4,1880","72,2222","72,7778","56,6667","15,1964","79,1667","65,9794","51,7986","296,0245"
"Partición 1-2","97,1930","97,5352","53,3333","8,1401","80,0000","72,7778","53,3333","32,1731","74,7423","64,0625","54,3165","500,2861"
"Partición 2-1","97,5352","96,4912","60,0000","3,0758","77,2222","78,8889","51,1111","12,8567","71,3542","63,9175","52,8777","199,2703"
"Partición 2-2","98,5965","94,3662","53,3333","7,1185","75,0000","72,7778","41,1111","32,2054","73,1959","67,1875","48,2014","447,1106"
"Partición 3-1","98,2394","96,1404","30,0000","4,3338","77,2222","75,0000","56,6667","18,5859","70,8333","60,8247","44,6043","253,7177"
"Partición 3-2","97,8947","95,7746","56,6667","7,0367","77,2222","75,0000","58,8889","33,2284","68,0412","65,1042","49,2806","471,2888"
"Partición 4-1","97,8873","96,8421","63,3333","3,4461","74,4444","77,2222","50,0000","15,9655","72,3958","64,4330","45,3237","256,7803"
"Partición 4-2","97,5439","97,1831","50,0000","6,6594","81,1111","67,7778","55,5556","34,1182","69,5876","62,5000","47,1223","485,4405"
"Partición 5-1","97,8873","94,7368","53,3333","3,4796","78,8889","71,6667","45,5556","15,1949","74,4792","63,9175","5,1439","308,4218"
"Partición 5-2","98,2456","97,1831","43,3333","8,3396","82,2222","73,3333","56,6667","30,0778","68,5567","65,1042","54,3165","544,5411"
"Media","98,0319","95,9937","50,3333","5,5818","77,5556","73,7222","52,5556","23,9602","72,2353","64,3030","45,2986","376,2882"
