,"Wdbc",,,,"Movement_Libras",,,,"Arrhythmia",,,
,"%_clas train","%_clas test","%_red","T","%_clas train","%_clas test","%_red","T","%_clas train","%_clas test","%_red","T"
"Partición 1-1","99,2958","95,7895","46,6667","4,4865","69,4444","73,8889","37,7778","18,4451","72,9167","68,0412","47,4820","244,9250"
"Partición 1-2","96,8421","96,8310","46,6667","5,1123","79,4444","77,7778","52,2222","24,9961","69,0722","62,5000","46,7626","262,5724"
"Partición 2-1","97,1831","97,1930","36,6667","4,4819","76,1111","78,3333","47,7778","16,9308","68,2292","61,8557","46,7626","319,5488"
"Partición 2-2","98,9474","95,4225","60,0000","3,4035","73,3333","73,3333","47,7778","21,8960","72,1649","67,1875","51,7986","190,0089"
"Partición 3-1","98,2394","96,8421","40,0000","3,8526","76,6667","76,1111","45,5556","23,0397","71,3542","64,4330","48,5612","263,3452"
"Partición 3-2","97,8947","94,0141","56,6667","3,8266","77,2222","76,6667","48,8889","18,3171","71,1340","63,0208","53,9568","262,7427"
"Partición 4-1","97,5352","97,5439","56,6667","3,6765","71,6667","77,7778","48,8889","22,4129","69,2708","61,3402","50,3597","227,7444"
"Partición 4-2","97,8947","96,1268","33,3333","4,2255","78,8889","66,1111","50,0000","17,7298","71,1340","65,6250","53,2374","280,0143"
"Partición 5-1","98,2394","94,7368","46,6667","5,0359","77,7778","70,0000","48,8889","18,7127","70,8333","63,4021","51,7986","264,0515"
"Partición 5-2","98,5965","96,8310","50,0000","4,1433","81,6667","73,8889","56,6667","19,7715","69,5876","65,1042","51,7986","196,1780"
"Media","98,0668","96,1331","47,3333","4,2245","76,2222","74,3889","48,4444","20,2252","70,5697","64,2510","50,2518","251,1131"
