,"Wdbc",,,,"Movement_Libras",,,,"Arrhythmia",,,
,"%_clas train","%_clas test","%_red","T","%_clas train","%_clas test","%_red","T","%_clas train","%_clas test","%_red","T"
"Partición 1-1","99,2958","95,0877","0,4333","111,9277","71,6667","76,1111","0,4556","182,9612","77,0833","67,5258","0,4532","929,8706"
"Partición 1-2","97,5439","97,5352","0,4000","110,6645","81,1111","74,4444","0,5444","150,1978","70,1031","61,4583","0,5000","737,2140"
"Partición 2-1","97,8873","96,1404","0,2333","142,1192","78,3333","78,3333","0,5111","159,6853","72,9167","63,4021","0,2554","1146,5426"
"Partición 2-2","99,2982","95,0704","0,5667","101,8055","77,2222","72,2222","0,4556","176,3094","77,3196","64,5833","0,2554","998,2010"
"Partición 3-1","98,9437","97,1930","0,4333","100,1677","78,8889","77,2222","0,5667","143,8691","73,9583","65,9794","0,4568","919,9947"
"Partición 3-2","98,2456","96,1268","0,3333","111,6887","81,1111","72,7778","0,4556","176,5872","73,7113","65,6250","0,2446","1036,6571"
"Partición 4-1","97,8873","94,3860","0,2333","133,0441","76,6667","80,5556","0,3889","212,0066","77,6042","62,3711","0,2230","1154,9914"
"Partición 4-2","98,2456","95,7746","0,2667","130,8645","81,6667","66,6667","0,5556","147,1362","76,2887","67,1875","0,3489","880,4354"
"Partición 5-1","97,8873","96,8421","0,3667","116,6638","80,0000","68,8889","0,5889","142,2323","78,6458","64,4330","0,4353","894,1407"
"Partición 5-2","98,5965","97,8873","0,3667","111,9023","83,8889","71,1111","0,5889","137,9519","71,1340","63,5417","0,1942","933,6901"
"Media","98,3831","96,2043","0,3633","117,0848","79,0556","73,8333","0,5111","162,8937","74,8765","64,6107","0,3367","963,1738"
