,"Wdbc",,,,"Movement_Libras",,,,"Arrhythmia",,,
,"%_clas train","%_clas test","%_red","T","%_clas train","%_clas test","%_red","T","%_clas train","%_clas test","%_red","T"
"Partición 1-1","99,6479","94,3860","60,0000","78,5619","72,2222","73,8889","45,5556","178,7664","80,7292","68,0412","52,1583","748,3829"
"Partición 1-2","97,5439","96,8310","40,0000","115,9536","81,1111","72,7778","52,2222","154,2362","72,6804","59,8958","51,0791","739,2541"
"Partición 2-1","97,1831","98,5965","40,0000","111,5717","78,8889","78,8889","48,8889","166,4796","72,9167","61,3402","52,8777","830,0614"
"Partición 2-2","98,9474","94,3662","50,0000","85,1722","78,3333","70,5556","47,7778","168,8781","79,8969","67,1875","50,7194","693,1010"
"Partición 3-1","98,5916","94,3860","56,6667","90,4621","78,3333","76,1111","54,4444","150,3366","77,0833","66,4948","51,4388","855,1478"
"Partición 3-2","97,8947","95,7746","50,0000","95,9497","83,3333","75,0000","58,8889","140,4027","77,3196","69,2708","47,1223","786,8225"
"Partición 4-1","97,5352","95,7895","40,0000","97,1104","77,2222","81,6667","61,1111","134,1479","76,0417","63,4021","52,1583","792,3615"
"Partición 4-2","97,8947","95,4225","43,3333","102,4731","82,7778","66,6667","58,8889","138,8140","76,2887","66,6667","55,3957","661,6351"
"Partición 5-1","98,5916","96,4912","70,0000","57,9619","80,5556","70,5556","51,1111","161,2022","78,6458","63,9175","49,6403","826,4084"
"Partición 5-2","98,5965","97,8873","40,0000","108,1109","83,3333","70,0000","53,3333","153,5616","73,7113","67,1875","54,3165","650,4075"
"Media","98,2427","95,9931","49,0000","94,3327","79,6111","73,6111","53,2222","154,6825","76,5314","65,3404","51,6906","758,3582"
