,"Wdbc",,,,"Movement_Libras",,,,"Arrhythmia",,,
,"%_clas train","%_clas test","%_red","T","%_clas train","%_clas test","%_red","T","%_clas train","%_clas test","%_red","T"
"Partición 1-1","99,6479","93,6842","66,6667","73,2739","73,3333","77,7778","58,8889","156,5707","76,5625","62,8866","55,3957","776,1501"
"Partición 1-2","97,1930","96,4789","50,0000","109,4825","80,5556","75,0000","47,7778","193,5003","70,1031","60,9375","47,8417","734,5450"
"Partición 2-1","97,5352","97,1930","56,6667","102,2398","77,2222","78,8889","45,5556","188,0814","70,8333","63,9175","45,6835","917,0496"
"Partición 2-2","98,2456","96,1268","40,0000","119,7222","76,1111","68,8889","54,4444","155,0173","77,3196","64,0625","51,0791","759,9437"
"Partición 3-1","98,5916","94,7368","53,3333","87,6058","77,2222","73,3333","46,6667","169,2416","77,6042","65,9794","50,3597","844,8881"
"Partición 3-2","97,8947","94,3662","36,6667","109,6000","79,4444","76,6667","60,0000","134,0695","74,7423","66,6667","46,7626","761,1360"
"Partición 4-1","97,8873","95,7895","46,6667","95,3858","75,5556","77,2222","47,7778","157,7252","73,9583","63,9175","52,1583","848,0728"
"Partición 4-2","97,8947","96,1268","40,0000","101,3465","81,1111","67,7778","45,5556","164,1188","77,3196","68,7500","46,7626","695,4139"
"Partición 5-1","97,1831","95,4386","53,3333","83,8958","79,4444","72,2222","50,0000","162,2455","75,5208","66,4948","50,7194","839,5494"
"Partición 5-2","98,2456","97,8873","40,0000","94,1634","83,8889","70,0000","55,5556","158,4736","71,6495","62,5000","54,3165","713,1978"
"Media","98,0319","95,7828","48,3333","97,6716","78,3889","73,7778","51,2222","163,9044","74,5613","64,6113","50,1079","788,9946"
